sampID	tissue	condition	time
EC010_Rt_CTRL_w_ETOH_0H	Rt	CHAL	0H
EC011_Rt_CTRL_w_ETOH_0H	Rt	CHAL	0H
EC012_Rt_CTRL_w_ETOH_0H	Rt	CHAL	0H
EC025_Rt_CHAL_1H	Rt	CHAL	1H
EC026_Rt_CHAL_1H	Rt	CHAL	1H
EC027_Rt_CHAL_1H	Rt	CHAL	1H
EC043_Rt_CHAL_3H	Rt	CHAL	3H
EC044_Rt_CHAL_3H	Rt	CHAL	3H
EC045_Rt_CHAL_3H	Rt	CHAL	3H
EC061_Rt_CHAL_6H	Rt	CHAL	6H
EC062_Rt_CHAL_6H	Rt	CHAL	6H
EC063_Rt_CHAL_6H	Rt	CHAL	6H
EC079_Rt_CHAL_12H	Rt	CHAL	12H
EC080_Rt_CHAL_12H	Rt	CHAL	12H
EC081_Rt_CHAL_12H	Rt	CHAL	12H
EC097_Rt_CHAL_24H	Rt	CHAL	24H
EC098_Rt_CHAL_24H	Rt	CHAL	24H
EC099_Rt_CHAL_24H	Rt	CHAL	24H
EC010_Rt_CTRL_w_ETOH_0H2	Rt	ETOH	0H
EC011_Rt_CTRL_w_ETOH_0H2	Rt	ETOH	0H
EC012_Rt_CTRL_w_ETOH_0H2	Rt	ETOH	0H
EC022_Rt_ETOH_1H	Rt	ETOH	1H
EC023_Rt_ETOH_1H	Rt	ETOH	1H
EC024_Rt_ETOH_1H	Rt	ETOH	1H
EC040_Rt_ETOH_3H	Rt	ETOH	3H
EC041_Rt_ETOH_3H	Rt	ETOH	3H
EC042_Rt_ETOH_3H	Rt	ETOH	3H
EC058_Rt_ETOH_6H	Rt	ETOH	6H
EC059_Rt_ETOH_6H	Rt	ETOH	6H
EC060_Rt_ETOH_6H	Rt	ETOH	6H
EC076_Rt_ETOH_12H	Rt	ETOH	12H
EC077_Rt_ETOH_12H	Rt	ETOH	12H
EC078_Rt_ETOH_12H	Rt	ETOH	12H
EC094_Rt_ETOH_24H	Rt	ETOH	24H
EC095_Rt_ETOH_24H	Rt	ETOH	24H
EC096_Rt_ETOH_24H	Rt	ETOH	24H
EC004_Sht_CTRL_w_ETOH_0H	Sht	CHAL	0H
EC005_Sht_CTRL_w_ETOH_0H	Sht	CHAL	0H
EC006_Sht_CTRL_w_ETOH_0H	Sht	CHAL	0H
EC016_Sht_CHAL_1H	Sht	CHAL	1H
EC017_Sht_CHAL_1H	Sht	CHAL	1H
EC018_Sht_CHAL_1H	Sht	CHAL	1H
EC034_Sht_CHAL_3H	Sht	CHAL	3H
EC035_Sht_CHAL_3H	Sht	CHAL	3H
EC036_Sht_CHAL_3H	Sht	CHAL	3H
EC052_Sht_CHAL_6H	Sht	CHAL	6H
EC053_Sht_CHAL_6H	Sht	CHAL	6H
EC054_Sht_CHAL_6H	Sht	CHAL	6H
EC070_Sht_CHAL_12H	Sht	CHAL	12H
EC071_Sht_CHAL_12H	Sht	CHAL	12H
EC072_Sht_CHAL_12H	Sht	CHAL	12H
EC088_Sht_CHAL_24H	Sht	CHAL	24H
EC089_Sht_CHAL_24H	Sht	CHAL	24H
EC090_Sht_CHAL_24H	Sht	CHAL	24H
EC004_Sht_CTRL_w_ETOH_0H2	Sht	ETOH	0H
EC005_Sht_CTRL_w_ETOH_0H2	Sht	ETOH	0H
EC006_Sht_CTRL_w_ETOH_0H2	Sht	ETOH	0H
EC013_Sht_ETOH_1H	Sht	ETOH	1H
EC014_Sht_ETOH_1H	Sht	ETOH	1H
EC015_Sht_ETOH_1H	Sht	ETOH	1H
EC031_Sht_ETOH_3H	Sht	ETOH	3H
EC032_Sht_ETOH_3H	Sht	ETOH	3H
EC033_Sht_ETOH_3H	Sht	ETOH	3H
EC049_Sht_ETOH_6H	Sht	ETOH	6H
EC050_Sht_ETOH_6H	Sht	ETOH	6H
EC051_Sht_ETOH_6H	Sht	ETOH	6H
EC067_Sht_ETOH_12H	Sht	ETOH	12H
EC068_Sht_ETOH_12H	Sht	ETOH	12H
EC069_Sht_ETOH_12H	Sht	ETOH	12H
EC085_Sht_ETOH_24H	Sht	ETOH	24H
EC086_Sht_ETOH_24H	Sht	ETOH	24H
EC087_Sht_ETOH_24H	Sht	ETOH	24H
